得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
113.931,123020,富祥转债,104.801,-0.90%,富祥股份,14.29,0.00%,3.15,14.880,96.03,9.13%,AA-,10.42,19.34,11.0%,25-03-01,5.723,2.62%,1.96%,337.72
114.02,113528,长城转债,97.640,-0.33%,长城科技,20.16,-0.69%,1.97,24.030,83.90,16.38%,AA-,16.82,31.24,17.6%,25-03-01,5.723,3.46%,2.87%,116.05
114.351,128064,司尔转债,96.441,-0.93%,司尔特,5.03,-0.98%,1.01,6.150,81.79,17.91%,AA,4.30,8.00,22.1%,25-04-08,5.827,3.17%,2.68%,340.28
114.44,113020,桐昆转债,109.730,-0.15%,桐昆股份,13.11,0.85%,1.44,12.510,104.80,4.71%,AA+,8.76,16.26,15.9%,24-11-19,5.444,0.57%,0.13%,1473.09
114.46000000000001,128054,中宠转债,102.900,0.11%,中宠股份,20.55,1.63%,4.36,22.280,92.24,11.56%,A+,15.60,28.96,5.6%,25-02-15,5.685,2.11%,1.60%,58.52
114.56,128038,利欧转债,114.550,-0.81%,利欧股份,1.97,-0.51%,1.67,1.720,114.53,0.01%,AA,1.20,2.24,1.4%,24-03-22,4.781,-0.14%,-0.66%,3989.41
114.79,110041,蒙电转债,110.260,-0.05%,内蒙华电,3.08,0.65%,1.30,2.920,105.48,4.53%,AAA,2.04,3.80,10.5%,23-12-21,4.529,0.13%,-0.32%,397.80
114.96000000000001,110046,圆通转债,115.060,-0.87%,圆通速递,12.37,-0.56%,2.95,10.740,115.18,-0.10%,AA+,7.52,13.96,10.4%,24-11-19,5.444,0.09%,-0.42%,1921.48
115.19,110051,中天转债,103.750,0.26%,中天科技,9.58,3.23%,1.45,10.290,93.10,11.44%,AA+,7.20,13.38,13.5%,25-02-28,5.721,1.74%,1.28%,2735.82
115.32,127012,招路转债,100.860,-0.14%,招商公路,8.23,-1.08%,1.07,9.340,88.12,14.46%,AAA,6.54,12.14,9.8%,25-03-21,5.778,1.25%,0.98%,2550.79
115.33,128044,岭南转债,98.700,-0.05%,岭南股份,5.01,0.60%,1.70,5.920,84.63,16.63%,AA,4.14,7.70,8.6%,24-08-14,5.178,2.54%,2.09%,438.94
115.46000000000001,128033,迪龙转债,98.920,0.03%,雪迪龙,7.58,0.00%,2.18,8.930,84.88,16.54%,AA,6.25,11.61,11.3%,23-12-27,4.545,2.47%,2.03%,72.43
115.63,113017,吉视转债,99.160,-0.04%,吉视传媒,2.52,-1.18%,1.12,2.960,85.14,16.47%,AA+,2.07,3.85,19.9%,23-12-27,4.545,2.42%,1.98%,1330.20
115.68,110058,永鼎转债,94.930,0.03%,永鼎股份,5.11,1.19%,2.35,6.500,78.62,20.75%,AA,4.55,8.45,15.3%,25-04-15,5.847,3.45%,2.95%,966.94
115.68,113534,鼎胜转债,95.860,-0.20%,鼎胜新材,16.64,-0.18%,2.08,20.800,80.00,19.82%,AA,14.56,27.04,17.5%,25-04-08,5.827,3.28%,2.79%,1282.22
116.05000000000001,123001,蓝标转债,105.980,0.08%,蓝色光标,4.15,-0.95%,1.32,4.310,96.29,10.07%,AA,3.02,5.60,1.9%,21-12-18,2.521,2.00%,1.15%,331.85
116.18,123013,横河转债,105.400,0.38%,横河模具,8.81,-0.68%,3.98,9.260,95.14,10.78%,A+,6.48,12.04,2.0%,24-07-26,5.126,2.03%,1.43%,143.88
116.5,113520,百合转债,116.900,-1.11%,梦百合,16.76,-0.30%,2.77,14.280,117.37,-0.40%,AA-,10.00,18.56,8.0%,24-11-08,5.414,-0.20%,-0.71%,218.18
116.94,113515,高能转债,110.300,1.36%,高能环境,9.65,1.90%,2.36,9.330,103.43,6.64%,AA,6.53,12.13,11.5%,24-07-26,5.126,0.54%,0.06%,738.64
